HarvestDate,WindowStart,WindowEnd,Yield_sum,Wea__%time__mean__6d,Wea__%time__std__6d,Wea__%time__min__6d,Wea__%time__max__6d,Wea__%time__sum__6d,Wea__AbsHumOut__mean__6d,Wea__AbsHumOut__std__6d,Wea__AbsHumOut__min__6d,Wea__AbsHumOut__max__6d,Wea__AbsHumOut__sum__6d,Wea__Iglob__mean__6d,Wea__Iglob__std__6d,Wea__Iglob__min__6d,Wea__Iglob__max__6d,Wea__Iglob__sum__6d,Wea__PARout__mean__6d,Wea__PARout__std__6d,Wea__PARout__min__6d,Wea__PARout__max__6d,Wea__PARout__sum__6d,Wea__Pyrgeo__mean__6d,Wea__Pyrgeo__std__6d,Wea__Pyrgeo__min__6d,Wea__Pyrgeo__max__6d,Wea__Pyrgeo__sum__6d,Wea__RadSum__mean__6d,Wea__RadSum__std__6d,Wea__RadSum__min__6d,Wea__RadSum__max__6d,Wea__RadSum__sum__6d,Wea__Rain__mean__6d,Wea__Rain__std__6d,Wea__Rain__min__6d,Wea__Rain__max__6d,Wea__Rain__sum__6d,Wea__Rhout__mean__6d,Wea__Rhout__std__6d,Wea__Rhout__min__6d,Wea__Rhout__max__6d,Wea__Rhout__sum__6d,Wea__Tout__mean__6d,Wea__Tout__std__6d,Wea__Tout__min__6d,Wea__Tout__max__6d,Wea__Tout__sum__6d,Wea__Winddir__mean__6d,Wea__Winddir__std__6d,Wea__Winddir__min__6d,Wea__Winddir__max__6d,Wea__Winddir__sum__6d,Wea__Windsp__mean__6d,Wea__Windsp__std__6d,Wea__Windsp__min__6d,Wea__Windsp__max__6d,Wea__Windsp__sum__6d,Wea__DLI_mol_m2_day__mean__6d,Wea__DLI_mol_m2_day__std__6d,Wea__DLI_mol_m2_day__min__6d,Wea__DLI_mol_m2_day__max__6d,Wea__DLI_mol_m2_day__sum__6d
2020-02-19,2020-02-13,2020-02-18,44058.136999999995,43876.99826388888,1.8708286933869707,43874.49826388889,43879.49826388889,263261.9895833333,7.178997337276042,1.1565685504004897,6.322676766913194,9.242182553340278,43.07398402365625,45.625289309923964,23.10216432128148,19.993055550661456,77.19097207462882,273.75173585954377,93.10300925200261,44.02879110834549,43.67708334610902,151.64583337229655,558.6180555120156,-34.12268517910301,17.384519434022987,-61.04166663122916,-13.194444440125,-204.73611107461804,187.49999995781377,97.33238704145502,81.75347220260417,325.9201388128198,1124.9999997468826,0.09837962994074073,0.11835474092660812,0.0,0.312500000696875,0.5902777796444444,81.80381944346644,5.016305165853004,76.24861110972222,89.82430555493056,490.8229166607986,8.752083332997685,2.1616639180663055,6.110069444208333,12.138541666402778,52.51249999798611,36.618055562538196,10.15188570006942,22.777777775902777,48.041666677847225,219.70833337522916,8.705266203520834,3.157748502475949,4.908333333527778,12.830902773809028,52.231597221125,8.044099999373026,3.8040875517610497,3.7737000011038195,13.102200003366422,48.264599996238154
2020-02-24,2020-02-18,2020-02-23,45348.167,43881.99826388888,1.8708286933869707,43879.49826388889,43884.49826388889,263291.9895833333,6.87793815525868,0.8130758761925483,5.969880645309028,7.798311620913195,41.26762893155208,49.92708329082356,22.775889386852626,24.010416691217014,77.8680554204757,299.56249974494136,99.34953703108653,43.439522925423304,48.40277786530348,151.64583337229655,596.0972221865192,-36.29918980408217,11.433700663884794,-47.45486111204861,-21.600694435423613,-217.79513882449302,208.6562499529717,105.54490795173957,84.22569442324652,343.746527703993,1251.9374997178302,0.11747685161701389,0.13929483482835558,0.0,0.3749999996465278,0.7048611097020834,81.36782407443287,4.774636423478317,76.19548610934027,86.6291666717014,488.2069444465973,8.164988425894096,1.0112357413787991,6.581249999947917,9.351041666743056,48.98993055536458,46.097222230289354,7.507922766416981,38.319444455625,57.47222222593749,276.5833333817361,10.322395829779513,0.9793907191453299,9.253472220666668,11.883854158763889,61.93437497867708,8.583799999485876,3.753174780756573,4.182000007562221,13.102200003366422,51.50279999691526
2020-02-28,2020-02-22,2020-02-27,44817.832,43885.99826388888,1.8708286933869707,43883.49826388889,43888.49826388889,263315.9895833333,6.587154306543439,1.1536012519373657,5.324931755729167,7.798311620913195,39.52292583926063,37.26184804698357,22.582398806568047,15.510416664427431,76.48081042050313,223.57108828190144,76.05064406551652,46.43221046873786,33.736111089422224,158.72747519745573,456.30386439309916,-31.748257916563492,15.151197015813777,-60.93225583458447,-17.86805556404861,-190.48954749938096,145.14552114388118,87.49090463174983,65.01388887644097,291.9356269921308,870.8731268632871,0.23263888890648152,0.14267411396629973,0.024305555436111112,0.3749999996465278,1.395833333438889,84.48547714962847,4.188771273209099,76.13143928159016,87.44513888718751,506.9128628977708,6.827112137355628,2.483949647762576,3.7069444443576387,9.351041666743056,40.96267282413377,44.34201391784317,11.839932750754105,31.263888895416667,57.47222222593749,266.052083507059,8.363714739704244,3.069498324381711,3.493402777128472,11.883854158763889,50.18228843822547,6.570775647260628,4.011742984498951,2.9147999981260804,13.714053857060176,39.424653883563764
2020-03-04,2020-02-27,2020-03-03,46178.378,43890.99826388888,1.8708286933869707,43888.49826388889,43893.49826388889,263345.9895833333,6.092776042748842,0.7036839596852439,5.324931755729167,7.0811206139548615,36.556656256493056,59.152777705857694,33.84517692430304,25.170138891371877,115.8802077936354,354.9166662351462,116.16145834158245,61.53394986363706,51.104166662804865,215.4687498239573,696.9687500494947,-44.21238425015475,18.354951671310882,-70.8715277892639,-24.173611105586804,-265.2743055009285,253.98553235411455,154.37433102065873,98.57986108964583,511.6145832279444,1523.9131941246874,0.15914351861464124,0.13018595500158503,0.03125,0.3576388891243056,0.9548611116878474,84.01984953729168,5.766131569075056,79.12291666701388,94.76840277197917,504.11909722375003,5.902141203626736,1.7294889315611122,3.7069444443576387,8.912152777475693,35.412847221760416,32.89236113520833,2.3758435526502084,31.534722244791666,37.70833338361111,197.35416681125,5.880758101561777,2.805064473382224,3.4298611107465273,9.6932291659375,35.28454860937066,10.036350000712725,5.316533268218242,4.415399999666341,18.61649998478991,60.21810000427635
2020-03-09,2020-03-03,2020-03-08,45230.748,43895.99826388888,1.8708286933869707,43893.49826388889,43898.49826388889,263375.9895833333,6.665409585376736,0.8046628750575645,5.721185089270834,8.043861738795139,39.992457512260415,76.12557849677343,37.93773239706214,22.10069443165625,115.8802077936354,456.7534709806406,148.23958320990388,69.01275097528922,47.44444443019514,215.4687498239573,889.4374992594232,-37.14467593565798,23.944886599449333,-70.8715277892639,-4.173611111513889,-222.8680556139479,335.3252314100679,182.6613901823009,95.67361109134723,511.6145832279444,2011.9513884604073,0.11805555549814815,0.14939435339276985,0.0,0.392361110996875,0.7083333329888889,86.47265624938079,6.9124778363047295,78.12013887833334,93.9524305553125,518.8359374962847,6.882060185145256,1.282427749663297,5.519097222180555,8.998263889086806,41.29236111087153,27.89872689707002,15.509371277837488,4.020833332868055,41.79166670811806,167.39236138242012,4.70665509231794,1.4239191975271768,3.43680555585191,7.332291665847222,28.23993055390764,12.807899989335695,5.962701684264989,4.09919999876886,18.61649998478991,76.84739993601417
2020-03-13,2020-03-07,2020-03-12,44850.454,43899.99826388888,1.8708286933869707,43897.49826388889,43902.49826388889,263399.9895833333,8.112345467375,1.205583533384139,6.203717283291667,9.50523175290625,48.67407280425,75.22453686801632,39.626797798975815,19.16319443806771,122.40104127398263,451.3472212080979,151.52488411457244,75.32911490773064,41.95138886039097,237.82986056773612,909.1493046874347,-39.494212962726856,22.86461361874987,-70.79861109190625,-5.767361109576388,-236.96527777636112,358.75115733279523,203.25872159641708,82.27430553931633,592.1006943175416,2152.5069439967715,0.11921296274612268,0.17990892013249396,0.0,0.4791666658423611,0.7152777764767361,91.23998842467013,6.972609177559316,78.12013887833334,98.18298610975694,547.4399305480208,8.958159722456598,1.3218402725431095,7.405902777611112,10.981249999850695,53.74895833473959,41.36342593400463,7.764946845582266,31.722222218506943,51.63888890378472,248.1805556040278,8.413715276190624,2.711300931813008,4.880902776244444,12.631423603006944,50.48229165714375,13.091749987499062,6.508435528027928,3.6245999975377803,20.548499953052403,78.55049992499437
2020-03-18,2020-03-12,2020-03-17,45319.095,43904.99826388888,1.8708286933869707,43902.49826388889,43907.49826388889,263429.9895833333,7.133917777928819,1.0368578750740927,5.486787665347222,8.185907336128473,42.80350666757292,93.59085620742893,35.093663654193165,43.87500000696528,128.9531243010559,561.5451372445735,185.06249969681372,66.60237606272221,91.05902794329513,253.32291575580453,1110.3749981808824,-53.054976860129635,23.152289575934415,-80.05208333777779,-24.555555565760418,-318.3298611607778,443.4166665701519,189.7848843508341,187.38541662712848,655.3958331919375,2660.4999994209115,0.02777777775769676,0.040670973642155016,0.0,0.10416666701319445,0.16666666654618056,84.29256365308449,11.595433415421633,65.00173611840279,97.91267355982637,505.75538191850694,8.371817129346644,0.9995025629479094,7.254166665694445,9.925347221881944,50.23090277607986,37.78298613534838,17.852889002770766,12.388888892642361,57.34722224876389,226.69791681209028,5.86438078600463,3.940597948965431,1.8496527773003473,12.631423603006944,35.18628471602778,15.989399973804707,5.7544452918191995,7.867500014300699,21.88709992130151,95.93639984282824
2020-03-23,2020-03-17,2020-03-22,45414.786,43909.99826388888,1.8708286933869707,43907.49826388889,43912.49826388889,263459.9895833333,5.192659727068286,1.5314822834391792,2.9540017251597224,7.23176307628125,31.15595836240972,103.22424729384814,43.77603936237498,44.815972261249996,146.69270749180728,619.3454837630889,205.08564762906028,79.75949969680572,96.71527786938958,282.35069332055735,1230.5138857743616,-64.02662036775638,35.54461649054995,-103.29513888888889,-13.270833324906251,-384.1597222065383,498.9311340407371,257.64501727155636,180.98611107347222,760.4687494959794,2993.5868042444226,0.0,0.0,0.0,0.0,0.0,64.40561342559606,12.977203223081295,45.391666669201385,84.70069444534721,386.4336805535763,7.418402777819444,2.1360778335419996,4.868055555274306,10.180902778131944,44.51041666691666,15.110532409444446,15.650041418144527,2.0,37.819444448194446,90.66319445666667,4.999363425951446,1.4914339615578482,2.603819444115625,6.783333333357639,29.99618055570868,17.719399955150806,6.8912207738040125,8.35620000791526,24.395099902896156,106.31639973090483
2020-03-27,2020-03-21,2020-03-26,45165.954,43913.99826388888,1.8708286933869707,43911.49826388889,43916.49826388889,263483.9895833333,2.9204423915538196,0.5286022640851583,2.5317960115173612,3.92137649665625,17.522654349322917,146.83217508617307,1.221134030161966,145.04687416806942,148.85069358656943,880.9930505170383,283.348378528511,2.7743830453030904,279.3993045046674,287.6527766894781,1700.0902711710658,-101.61805555599535,3.957852066495242,-105.72569444597222,-96.2395833340625,-609.7083333359722,760.770254123135,5.040754237799554,752.107638398851,767.6909716970902,4564.62152473881,0.0,0.0,0.0,0.0,0.0,42.91403357398727,8.348080516286508,36.230382001006944,58.555208333125,257.4842014439236,5.522800925770254,0.6311776739529493,4.868055555274306,6.231597221881945,33.136805554621525,4.437499999767361,1.5859992183812606,2.8611111099479167,7.125000001395833,26.624999998604167,4.607002314823206,1.7933479595523418,2.902083333175347,6.783333333357639,27.642013888939235,24.48129990486335,0.23970669511418652,24.14009990920326,24.853199905970907,146.8877994291801
2020-04-01,2020-03-26,2020-03-31,44846.297,43918.99826388888,1.8708286933869707,43916.49826388889,43921.49826388889,263513.9895833333,3.9627473554297254,0.7776173165484849,2.9681348267465277,5.001617795826388,23.776484132578354,143.46527704143452,13.622587765766042,116.57638870651772,154.78819355305208,860.791662248607,278.53645764855463,24.652339591387012,230.37152785066806,301.74652656052433,1671.2187458913277,-82.10648237308202,13.176875798433297,-96.2395833340625,-60.854166669576394,-492.6388942384921,704.7673608034369,102.60900379483407,497.2118060963577,761.5972217205034,4228.604164820621,0.00520833333287037,0.008715208580928264,0.0,0.02083333321423611,0.031249999997222222,54.36602538076257,9.244971386924197,41.482986107916666,66.40763888812499,326.1961522845754,6.123727229788124,1.549156007247907,4.586111111020833,8.089930555572916,36.74236337872875,5.839699074517362,9.118087136645771,1.65625,24.434027781253473,35.03819444710417,3.998321714803468,1.824137051516799,2.418055555229861,6.905902509614904,23.98993028882081,24.065549940835112,2.129962140695839,19.904100006297718,26.070899894829303,144.39329964501067
